t,radius
28.67,13.78
28.82,13.74
28.95,13.72
29.13,13.75
29.32,13.82
29.44,13.94
29.62,14.19
29.78,14.48
29.96,14.76
30.11,14.12
30.32,14.07
30.57,14.13
30.72,14.28
30.93,14.74
31.17,15.19
31.33,15.59
31.51,16.01
31.63,16.66
31.75,17.68
31.96,17.9
32.11,17.88
32.26,17.85
32.38,17.88
32.62,17.9
32.77,17.71
32.93,17.38
33.02,17.2
33.17,16.87
33.38,16.47
33.53,16.03
33.75,15.43
33.84,15.27
34.12,14.82
34.22,14.68
34.4,14.38
34.49,14.24
34.65,14.01
34.77,13.9
34.92,13.8
35.11,13.59
35.24,13.65
35.45,13.63
35.54,13.64
35.72,13.53
35.81,12.61
36.09,10.4
36.38,10.84
36.65,10.83
36.83,9.66
37.04,8.9
37.19,8.67
37.43,8.51
37.55,8.59
37.73,8.44
38.01,8.09
38.25,7.94
38.4,7.81
38.64,7.7
38.85,7.6
39.01,7.5
39.25,7.43
39.52,7.38
39.7,7.38
39.9,7.39
40.02,7.39
40.33,7.48
40.46,7.51
40.76,7.71
40.97,7.85
41.12,8.05
41.34,8.39
41.52,8.65
41.7,8.98
41.88,9.21
42.06,9.6
42.15,9.92
42.31,10.28
42.56,10.96
42.63,11.25
42.82,11.79
42.97,12.25
43.18,12.73
43.45,13.29
43.7,13.83
43.88,15.09
44.09,16.77
44.27,17.2
44.54,12.68
44.72,12.63
45.06,12.57
45.24,12.56
45.48,12.65
45.69,12.69
45.9,12.92
46.06,13.14
46.36,13.78
46.48,14.05
46.6,14.37
46.72,18.88
46.87,17.24
47.03,17.31
47.21,17.89
47.28,18.19
47.46,18.62
47.61,18.9
47.79,19.28
47.97,19.54
48.15,19.73
48.24,19.83
48.48,20.04
48.57,20.09
48.69,20.16
48.87,20.28
49.04,20.35
49.19,20.41
49.34,20.46
49.47,20.46
49.59,20.48
49.74,20.47
49.86,20.52
50.0,20.61
50.36,20.55
50.52,20.62
50.61,20.67
50.77,20.58
50.89,20.69
51.04,20.62
51.26,20.7
51.49,20.85
51.55,21.12
51.72,21.24
51.88,21.41
52.06,21.35
52.22,21.33
52.4,21.32
52.55,21.23
52.71,21.1
52.89,20.94
52.98,20.86
53.08,20.93
53.26,20.67
53.44,20.53
53.59,20.43
53.73,20.47
53.91,20.38
54.0,20.49
54.18,20.26
54.3,20.28
54.52,19.91
54.67,19.7
54.8,19.69
54.92,19.6
55.07,19.49
55.2,19.38
55.32,19.27
55.44,19.22
55.62,19.13
55.74,19.26
55.95,19.24
56.05,19.2
56.23,19.32
56.45,19.19
56.6,19.23
56.72,19.21
56.93,19.02
57.06,19.12
57.24,18.99
57.36,19.03
57.48,19.12
57.67,19.02
57.85,18.99
58.12,18.79
58.27,18.73
58.39,18.83
58.54,18.83
58.73,18.68
58.85,18.65
59.03,18.47
59.22,18.29
59.34,18.51
59.52,18.34
59.71,18.36
59.83,18.51
60.04,18.33
60.16,18.64
60.33,18.65
60.54,18.35
60.6,18.81
60.75,18.95
60.91,19.32
61.09,19.34
61.21,19.45
61.42,19.47
61.54,19.62
61.61,19.64
61.86,18.87
61.98,18.41
62.13,17.36
62.37,15.67
62.5,15.15
62.62,12.34
62.77,11.36
62.87,10.7
63.05,9.75
63.17,9.1
63.35,8.45
63.47,7.91
63.59,7.42
63.77,6.97
63.86,6.63
63.98,6.25
64.17,6.08
64.34,5.79
64.49,5.61
64.7,5.4
64.76,5.1
64.88,4.84
65.03,4.56
65.22,4.3
65.34,3.98
65.52,3.73
65.68,3.44
65.74,3.11
65.86,2.8
66.04,2.48
66.22,2.17
66.37,1.83
66.52,1.48
66.71,1.12
66.86,0.76
67.07,0.37
67.13,0.05
67.25,0.4
67.4,0.82
67.56,1.25
67.74,1.67
67.89,2.09
68.04,2.53
68.22,3.01
68.41,3.46
68.66,4.02
68.82,4.5
68.97,4.93
69.26,5.48
69.47,6.02
69.63,6.54
69.81,7.09
69.93,7.63
70.12,8.27
70.27,8.89
70.37,9.43
70.56,10.09
70.66,10.65
70.79,11.29
70.95,11.93
71.08,12.53
71.23,13.17
71.35,13.69
71.6,14.53
71.72,15.14
71.87,15.78
71.99,16.46
72.14,17.13
72.36,17.84
