t,true_radius
30.11,17.16
30.32,17.48
30.57,17.74
30.72,17.90
30.93,18.11
31.17,18.31
31.33,18.53
31.51,18.75
31.63,18.88
31.75,18.94
31.96,19.04
32.11,19.03
32.26,18.96
32.38,18.91
32.62,18.69
32.77,18.51
32.93,18.28
33.02,18.19
33.17,17.90
33.38,17.58
33.53,17.33
33.75,17.01
33.84,16.87
34.12,16.51
34.22,16.38
34.4,16.16
34.49,16.04
34.65,15.87
34.77,15.78
34.92,15.72
35.11,15.64
35.24,15.63
35.45,15.61
35.54,15.61
35.72,15.63
35.81,15.65
36.09,15.72
36.38,15.80
36.65,15.90
36.83,15.97
37.04,16.04
37.19,16.11
37.43,16.21
37.55,16.28
37.73,16.37
38.01,16.55
38.25,16.74
38.4,16.87
38.64,17.11
38.85,16.87
39.01,16.54
39.25,16.06
39.52,15.54
39.7,15.24
39.9,14.91
40.02,14.72
40.33,14.23
40.46,14.04
40.76,13.67
40.97,13.44
41.12,13.35
41.34,13.26
41.52,13.19
41.7,13.18
41.88,13.10
42.06,13.17
42.15,13.30
42.31,13.39
42.56,13.68
42.63,13.82
42.82,14.08
42.97,14.32
43.18,14.54
43.45,14.81
43.7,15.10
43.88,15.59
44.09,16.00
44.27,16.22
44.54,16.67
44.72,17.00
45.06,17.46
45.24,17.70
45.48,18.00
45.69,18.24
45.9,18.63
46.06,18.97
46.36,19.76
46.48,20.11
46.6,20.47
46.72,20.84
46.87,21.35
47.03,21.79
47.21,22.32
47.28,22.51
47.46,22.92
47.61,23.21
47.79,23.60
47.97,23.92
48.15,24.20
48.24,24.34
48.48,24.66
48.57,24.81
48.69,24.94
48.87,25.13
49.04,25.29
49.19,25.41
49.34,25.52
49.47,25.59
49.59,25.64
49.74,25.67
49.86,25.72
50.0,25.77
50.36,25.80
50.52,25.82
50.61,25.78
50.77,25.71
50.89,25.70
51.04,25.68
51.26,25.73
51.49,25.71
51.55,25.70
51.72,25.68
51.88,25.72
52.06,25.61
52.22,25.46
52.4,25.42
52.55,25.30
52.71,25.15
52.89,25.02
52.98,24.87
53.08,24.88
53.26,24.58
53.44,24.38
53.59,24.20
53.73,24.09
53.91,23.88
54.0,23.80
54.18,23.53
54.3,23.44
54.52,23.10
54.67,22.86
54.8,22.79
54.92,22.59
55.07,22.41
55.2,22.25
55.32,22.02
55.44,21.77
55.62,21.55
55.74,21.47
55.95,21.36
56.05,21.09
56.23,21.05
56.45,20.84
56.6,20.71
56.72,20.50
56.93,20.28
57.06,20.23
57.24,19.98
57.36,19.85
57.48,19.75
57.67,19.61
57.85,19.56
58.12,19.49
58.27,19.27
58.39,19.22
58.54,19.17
58.73,19.05
58.85,18.94
59.03,18.77
59.22,18.58
59.34,18.59
59.52,18.36
59.71,18.32
59.83,18.34
60.04,18.18
60.16,18.17
60.33,18.11
60.54,18.03
60.6,18.10
60.75,17.87
60.91,17.83
61.09,17.72
61.21,17.66
61.42,17.56
61.54,17.42
61.61,17.48
61.86,17.39
61.98,17.42
62.13,17.27
62.37,17.19
62.5,17.06
62.62,16.99
62.77,16.86
62.87,16.91
63.05,16.90
63.17,16.95
63.35,17.02
63.47,17.09
63.59,17.21
63.77,17.43
63.86,17.53
63.98,17.74
64.17,18.08
64.34,18.41
64.49,18.72
64.7,19.06
64.76,19.12
64.88,19.26
65.03,19.45
65.22,19.69
65.34,19.84
65.52,20.11
65.68,20.34
65.74,20.43
65.86,20.61
66.04,20.88
66.22,21.17
66.37,21.40
66.52,21.63
66.71,21.93
66.86,22.16
67.07,22.49
67.13,22.58
67.25,22.75
67.4,22.97
67.56,23.20
67.74,23.48
67.89,23.70
68.04,23.92
68.22,24.17
68.41,24.45
68.66,24.80
68.82,25.01
68.97,25.24
69.26,25.66
69.47,25.96
69.63,26.17
69.81,26.42
69.93,26.55
